time_s,Mean,SD_sample_ddof1
0.0,0.0,0.0
15.0,0.8425,0.08655441448399193
30.0,1.4275000000000002,0.13720422734012241
60.0,1.9525,0.19189841062395488
120.0,1.7975,0.3096637961833232
180.0,1.6175,0.3343027569933179
300.0,1.235,0.2711088342345192
450.0,0.9875,0.15195942440884233
600.0,0.875,0.0704745817062199
750.0,0.845,0.06855654600401045
900.0,0.845,0.10785793124908957
1050.0,0.83,0.11045361017187261
1145.0,0.8274999999999999,0.11354147553500733
1215.0,0.5850000000000001,0.04999999999999999
1230.0,0.495,0.04203173404306165
1260.0,0.3925,0.03593976442141303
1320.0,0.315,0.03696845502136472
1380.0,0.26,0.018257418583505554
1500.0,0.1225,0.033040379335998356
