time_s,Mean,SD_sample_ddof1
0.0,0.0,0.0
15.0,0.1275,0.015
30.0,0.19,0.008164965809277268
60.0,0.2725,0.0189296944860009
120.0,0.405,0.03109126351029605
180.0,0.4399999999999999,0.02943920288775949
300.0,0.48,0.021602468994692862
450.0,0.515,0.005773502691896263
600.0,0.53,0.014142135623730963
750.0,0.5375000000000001,0.015000000000000012
900.0,0.535,0.017320508075688787
1050.0,0.54,0.02581988897471609
1145.0,0.54,0.02581988897471609
1215.0,0.7175,0.012583057392117928
1230.0,0.72,0.008164965809277268
1260.0,0.7475,0.0050000000000000044
1320.0,0.7675000000000001,0.00957427107756339
1380.0,0.7775000000000001,0.012583057392117928
1500.0,0.805,0.005773502691896263
