time_s,Area1,Area3,Area4,Area5,Mean
0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.9,0.82,0.73,0.92,0.8425
30.0,1.53,1.33,1.29,1.56,1.4275000000000002
60.0,2.07,1.81,1.77,2.16,1.9525000000000001
120.0,1.93,1.46,1.64,2.16,1.7974999999999999
180.0,1.72,1.29,1.42,2.04,1.6175
300.0,1.23,1.04,1.05,1.62,1.235
450.0,0.92,0.95,0.87,1.21,0.9875
600.0,0.8,0.86,0.87,0.97,0.875
750.0,0.75,0.9,0.89,0.84,0.845
900.0,0.72,0.94,0.93,0.79,0.845
1050.0,0.74,0.91,0.94,0.73,0.83
1145.0,0.74,0.91,0.94,0.72,0.8274999999999999
1215.0,0.56,0.56,0.66,0.56,0.5850000000000001
1230.0,0.49,0.44,0.54,0.51,0.495
1260.0,0.42,0.34,0.4,0.41,0.3925
1320.0,0.34,0.27,0.3,0.35,0.31500000000000006
1380.0,0.28,0.25,0.24,0.27,0.26
1500.0,0.17,0.1,0.1,0.12,0.1225
