time_s,Area1,Area3,Area4,Area5,Mean
0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.12,0.12,0.12,0.15,0.1275
30.0,0.19,0.2,0.18,0.19,0.19
60.0,0.27,0.3,0.26,0.26,0.2725
120.0,0.39,0.45,0.4,0.38,0.405
180.0,0.43,0.48,0.44,0.41,0.43999999999999995
300.0,0.48,0.5,0.49,0.45,0.48
450.0,0.52,0.51,0.52,0.51,0.515
600.0,0.54,0.53,0.51,0.54,0.53
750.0,0.55,0.53,0.52,0.55,0.5375000000000001
900.0,0.55,0.52,0.52,0.55,0.535
1050.0,0.55,0.51,0.53,0.57,0.54
1145.0,0.55,0.51,0.53,0.57,0.54
1215.0,0.73,0.7,0.72,0.72,0.7175
1230.0,0.73,0.71,0.72,0.72,0.72
1260.0,0.75,0.74,0.75,0.75,0.7475
1320.0,0.77,0.76,0.78,0.76,0.7675000000000001
1380.0,0.78,0.76,0.79,0.78,0.7775000000000001
1500.0,0.8,0.8,0.81,0.81,0.805
